TrainNo,StationName,DelayTime,SrcUpdateTime,UpdateTime
1,社頭,0,2025-09-15T09:12:58+08:00,2025-09-15T09:13:24+08:00
1006,民雄,0,2025-09-15T09:12:46+08:00,2025-09-15T09:13:24+08:00
103,追分,0,2025-09-15T09:09:14+08:00,2025-09-15T09:13:24+08:00
105,豐原,0,2025-09-15T09:12:44+08:00,2025-09-15T09:13:24+08:00
107,豐原,0,2025-09-15T09:12:32+08:00,2025-09-15T09:13:24+08:00
108,三義,0,2025-09-15T09:11:08+08:00,2025-09-15T09:13:24+08:00
109,湖口,0,2025-09-15T09:11:42+08:00,2025-09-15T09:13:24+08:00
110,豐原,0,2025-09-15T09:12:04+08:00,2025-09-15T09:13:24+08:00
111,竹南,0,2025-09-15T09:12:24+08:00,2025-09-15T09:13:24+08:00
112,彰化,1,2025-09-15T09:12:46+08:00,2025-09-15T09:13:24+08:00
1122,七堵,0,2025-09-15T08:00:58+08:00,2025-09-15T09:13:24+08:00
1124,七堵,0,2025-09-15T08:16:27+08:00,2025-09-15T09:13:24+08:00
1127,北新竹,0,2025-09-15T09:12:34+08:00,2025-09-15T09:13:24+08:00
1131,楊梅,0,2025-09-15T09:12:58+08:00,2025-09-15T09:13:24+08:00
1134,七堵,1,2025-09-15T09:09:50+08:00,2025-09-15T09:13:24+08:00
1135,內壢,0,2025-09-15T09:12:26+08:00,2025-09-15T09:13:24+08:00
1136,南港,1,2025-09-15T09:11:42+08:00,2025-09-15T09:13:24+08:00
1137,桃園,0,2025-09-15T09:12:50+08:00,2025-09-15T09:13:24+08:00
1138,臺北,0,2025-09-15T09:12:34+08:00,2025-09-15T09:13:24+08:00
114,新營,0,2025-09-15T09:10:28+08:00,2025-09-15T09:13:24+08:00
1141,萬華,0,2025-09-15T09:10:44+08:00,2025-09-15T09:13:24+08:00
1142,山佳,0,2025-09-15T09:10:56+08:00,2025-09-15T09:13:24+08:00
1143,鶯歌,0,2025-09-15T09:11:04+08:00,2025-09-15T09:13:24+08:00
1147,汐止,0,2025-09-15T09:08:12+08:00,2025-09-15T09:13:24+08:00
1148,桃園,0,2025-09-15T09:06:12+08:00,2025-09-15T09:13:24+08:00
115,板橋,1,2025-09-15T09:12:10+08:00,2025-09-15T09:13:24+08:00
1151,基隆,0,2025-09-15T09:12:18+08:00,2025-09-15T09:13:24+08:00
1152,富岡,0,2025-09-15T09:11:10+08:00,2025-09-15T09:13:24+08:00
1154,埔心,0,2025-09-15T09:12:50+08:00,2025-09-15T09:13:24+08:00
1158,湖口,0,2025-09-15T09:12:54+08:00,2025-09-15T09:13:24+08:00
